Configuration,Initial Capital,Final Portfolio,Total Return,Max Drawdown,Sharpe Ratio,Trades
DQN_1,100000,61647.93277962323,-0.38352067220376773,-0.39170414891351857,-1.206658252427082,162
DQN_2,100000,69172.73122522271,-0.30827268774777283,-0.3590548987124549,-0.8182802842823251,163
DQN_3,100000,60241.52313654098,-0.39758476863459025,-0.4092533765556726,-1.7371787540761408,196
DQN_4,100000,88106.357124938,-0.11893642875061994,-0.22317116676905513,-0.1677180823415978,106
