Configuration,Initial Capital,Final Portfolio,Total Return,Max Drawdown,Sharpe Ratio,Trades
A2C_1,100000,87087.00077326468,-0.12912999226735322,-0.3617810166386142,-0.13480240111991446,13
A2C_2,100000,86397.55941193936,-0.13602440588060638,-0.3692188582551891,-0.11021128881852144,1
A2C_3,100000,80647.04153393157,-0.19352958466068437,-0.3601558104592132,-0.2881682567163055,13
A2C_4,100000,85638.27753333471,-0.14361722466665294,-0.30981097771725186,-0.3359244996829531,42
